Density:0.1, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 73
Density:0.2, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 92
Density:0.3, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 43
Density:0.4, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 40
Density:0.5, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 31
Density:0.6, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 30
Density:0.7, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 27
Density:0.8, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 25
Density:0.1, Vertices: 50, Time: 0.0008 seconds, MST Weight by matrix: 155
Density:0.2, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 87
Density:0.3, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 60
Density:0.4, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 58
Density:0.5, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 57
Density:0.6, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 54
Density:0.7, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 49
Density:0.8, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 49
Density:0.1, Vertices: 70, Time: 0.0010 seconds, MST Weight by matrix: 146
Density:0.2, Vertices: 70, Time: 0.0010 seconds, MST Weight by matrix: 94
Density:0.3, Vertices: 70, Time: 0.0020 seconds, MST Weight by matrix: 88
Density:0.4, Vertices: 70, Time: 0.0011 seconds, MST Weight by matrix: 74
Density:0.5, Vertices: 70, Time: 0.0010 seconds, MST Weight by matrix: 71
Density:0.6, Vertices: 70, Time: 0.0020 seconds, MST Weight by matrix: 70
Density:0.7, Vertices: 70, Time: 0.0020 seconds, MST Weight by matrix: 69
Density:0.8, Vertices: 70, Time: 0.0020 seconds, MST Weight by matrix: 69
Density:0.1, Vertices: 90, Time: 0.0020 seconds, MST Weight by matrix: 180
Density:0.2, Vertices: 90, Time: 0.0031 seconds, MST Weight by matrix: 101
Density:0.3, Vertices: 90, Time: 0.0031 seconds, MST Weight by matrix: 97
Density:0.4, Vertices: 90, Time: 0.0040 seconds, MST Weight by matrix: 91
Density:0.5, Vertices: 90, Time: 0.0030 seconds, MST Weight by matrix: 89
Density:0.6, Vertices: 90, Time: 0.0030 seconds, MST Weight by matrix: 89
Density:0.7, Vertices: 90, Time: 0.0041 seconds, MST Weight by matrix: 89
Density:0.8, Vertices: 90, Time: 0.0040 seconds, MST Weight by matrix: 89
Density:0.1, Vertices: 100, Time: 0.0020 seconds, MST Weight by matrix: 193
Density:0.2, Vertices: 100, Time: 0.0030 seconds, MST Weight by matrix: 115
Density:0.3, Vertices: 100, Time: 0.0035 seconds, MST Weight by matrix: 103
Density:0.4, Vertices: 100, Time: 0.0030 seconds, MST Weight by matrix: 100
Density:0.5, Vertices: 100, Time: 0.0040 seconds, MST Weight by matrix: 101
Density:0.6, Vertices: 100, Time: 0.0040 seconds, MST Weight by matrix: 100
Density:0.7, Vertices: 100, Time: 0.0040 seconds, MST Weight by matrix: 99
Density:0.8, Vertices: 100, Time: 0.0051 seconds, MST Weight by matrix: 99
Density:0.1, Vertices: 120, Time: 0.0030 seconds, MST Weight by matrix: 177
Density:0.2, Vertices: 120, Time: 0.0040 seconds, MST Weight by matrix: 125
Density:0.3, Vertices: 120, Time: 0.0060 seconds, MST Weight by matrix: 123
Density:0.4, Vertices: 120, Time: 0.0060 seconds, MST Weight by matrix: 119
Density:0.5, Vertices: 120, Time: 0.0051 seconds, MST Weight by matrix: 119
Density:0.6, Vertices: 120, Time: 0.0051 seconds, MST Weight by matrix: 120
Density:0.7, Vertices: 120, Time: 0.0062 seconds, MST Weight by matrix: 119
Density:0.8, Vertices: 120, Time: 0.0070 seconds, MST Weight by matrix: 119
Density:0.1, Vertices: 150, Time: 0.0051 seconds, MST Weight by matrix: 212
Density:0.2, Vertices: 150, Time: 0.0060 seconds, MST Weight by matrix: 160
Density:0.3, Vertices: 150, Time: 0.0060 seconds, MST Weight by matrix: 152
Density:0.4, Vertices: 150, Time: 0.0060 seconds, MST Weight by matrix: 149
